spawn bash -c cat .run-ssh | ssh -o 'StrictHostKeyChecking no' root@10.10.11.131 'bash -s'
root@10.10.11.131's password: 
PING 2.6.0.2 (2.6.0.2) 56(84) bytes of data.
64 bytes from 2.6.0.2: icmp_seq=562 ttl=63 time=0.229 ms
64 bytes from 2.6.0.2: icmp_seq=563 ttl=63 time=0.223 ms
64 bytes from 2.6.0.2: icmp_seq=564 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=565 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=566 ttl=63 time=0.206 ms
64 bytes from 2.6.0.2: icmp_seq=567 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=568 ttl=63 time=0.237 ms
64 bytes from 2.6.0.2: icmp_seq=569 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=570 ttl=63 time=0.215 ms
64 bytes from 2.6.0.2: icmp_seq=571 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=572 ttl=63 time=0.229 ms
64 bytes from 2.6.0.2: icmp_seq=573 ttl=63 time=0.243 ms
64 bytes from 2.6.0.2: icmp_seq=574 ttl=63 time=0.236 ms
64 bytes from 2.6.0.2: icmp_seq=575 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=576 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=577 ttl=63 time=0.238 ms
64 bytes from 2.6.0.2: icmp_seq=578 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=579 ttl=63 time=0.170 ms
64 bytes from 2.6.0.2: icmp_seq=580 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=581 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=582 ttl=63 time=0.236 ms
64 bytes from 2.6.0.2: icmp_seq=583 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=584 ttl=63 time=0.233 ms
